Sex,Decile,Age,Population
Females,10.0,11,33517.0
Males,1.0,12,44433.0
Males,2.0,12,41092.0
Males,3.0,12,38247.0
Males,4.0,12,35044.0
Males,5.0,12,34009.0
Males,6.0,12,33713.0
Males,7.0,12,32282.0
Males,8.0,12,32784.0
Males,9.0,12,33505.0
Males,10.0,12,35035.0
Females,1.0,12,42206.0
Females,2.0,12,38783.0
Females,3.0,12,36470.0
Females,4.0,12,33258.0
Females,5.0,12,32101.0
Females,6.0,12,31990.0
Females,7.0,12,30912.0
Females,8.0,12,31316.0
Females,9.0,12,32374.0
Females,10.0,12,33533.0
Males,1.0,13,43557.0
Males,2.0,13,40144.0
Males,3.0,13,37367.0
Males,4.0,13,34109.0
Males,5.0,13,33260.0
Males,6.0,13,33388.0
Males,7.0,13,31920.0
Males,8.0,13,32579.0
Males,9.0,13,33682.0
Males,10.0,13,35207.0
Females,1.0,13,41733.0
Females,2.0,13,38195.0
Females,3.0,13,35623.0
Females,4.0,13,32627.0
Females,5.0,13,31597.0
Females,6.0,13,31452.0
Females,7.0,13,30292.0
Females,8.0,13,31046.0
Females,9.0,13,31508.0
Females,10.0,13,33587.0
Males,1.0,14,43536.0
Males,2.0,14,40019.0
Males,3.0,14,37567.0
Males,4.0,14,34365.0
Males,5.0,14,33432.0
Males,6.0,14,33777.0
Males,7.0,14,32569.0
Males,8.0,14,33135.0
Males,9.0,14,34145.0
Males,10.0,14,36010.0
Females,1.0,14,41406.0
Females,2.0,14,38180.0
Females,3.0,14,35700.0
Females,4.0,14,32560.0
Females,5.0,14,31745.0
Females,6.0,14,31845.0
Females,7.0,14,30780.0
Females,8.0,14,31450.0
Females,9.0,14,32528.0
Females,10.0,14,34072.0
Males,1.0,15,41720.0
Males,2.0,15,38415.0
Males,3.0,15,36205.0
Males,4.0,15,33425.0
Males,5.0,15,32486.0
Males,6.0,15,32410.0
Males,7.0,15,31616.0
Males,8.0,15,32334.0
Males,9.0,15,33279.0
Males,10.0,15,35792.0
Females,1.0,15,39474.0
Females,2.0,15,36673.0
Females,3.0,15,34401.0
Females,4.0,15,31547.0
Females,5.0,15,30522.0
Females,6.0,15,30705.0
Females,7.0,15,30056.0
Females,8.0,15,30671.0
Females,9.0,15,31306.0
Females,10.0,15,33736.0
Males,1.0,16,40577.0
Males,2.0,16,37563.0
Males,3.0,16,35575.0
Males,4.0,16,32229.0
Males,5.0,16,31853.0
Males,6.0,16,32069.0
Males,7.0,16,31056.0
Males,8.0,16,31663.0
Males,9.0,16,32775.0
Males,10.0,16,34920.0
Females,1.0,16,39166.0
Females,2.0,16,36033.0
Females,3.0,16,33377.0
Females,4.0,16,30759.0
Females,5.0,16,29963.0
Females,6.0,16,30269.0
Females,7.0,16,29785.0
Females,8.0,16,30105.0
Females,9.0,16,31095.0
Females,10.0,16,33193.0
Males,1.0,17,38013.0
Males,2.0,17,35956.0
Males,3.0,17,33858.0
Males,4.0,17,31353.0
Males,5.0,17,30798.0
Males,6.0,17,30670.0
Males,7.0,17,30014.0
Males,8.0,17,31005.0
Males,9.0,17,31416.0
Males,10.0,17,34041.0
Females,1.0,17,36625.0
Females,2.0,17,34238.0
Females,3.0,17,32167.0
Females,4.0,17,29529.0
Females,5.0,17,28825.0
Females,6.0,17,29300.0
Females,7.0,17,28724.0
Females,8.0,17,29167.0
Females,9.0,17,30001.0
Females,10.0,17,32056.0
Males,1.0,18,36798.0
Males,2.0,18,34980.0
Males,3.0,18,32821.0
Males,4.0,18,30862.0
Males,5.0,18,30499.0
Males,6.0,18,30463.0
Males,7.0,18,29763.0
Males,8.0,18,30885.0
Males,9.0,18,31298.0
Males,10.0,18,34001.0
Females,1.0,18,34941.0
Females,2.0,18,33435.0
Females,3.0,18,31084.0
Females,4.0,18,28881.0
Females,5.0,18,28518.0
Females,6.0,18,29053.0
Females,7.0,18,28756.0
Females,8.0,18,28827.0
Females,9.0,18,30309.0
Females,10.0,18,31849.0
Males,1.0,19,36004.0
Males,2.0,19,33981.0
Males,3.0,19,32649.0
Males,4.0,19,30625.0
Males,5.0,19,29409.0
Males,6.0,19,29567.0
Males,7.0,19,29256.0
Males,8.0,19,30288.0
Males,9.0,19,30652.0
Males,10.0,19,33066.0
Females,1.0,19,33726.0
Females,2.0,19,32420.0
Females,3.0,19,30351.0
Females,4.0,19,28304.0
Females,5.0,19,27871.0
Females,6.0,19,28344.0
Females,7.0,19,28034.0
Females,8.0,19,28058.0
Females,9.0,19,29048.0
Females,10.0,19,31372.0
Males,1.0,20,35496.0
Males,2.0,20,33579.0
Males,3.0,20,32888.0
Males,4.0,20,31112.0
Males,5.0,20,29412.0
Males,6.0,20,29478.0
Males,7.0,20,29025.0
Males,8.0,20,29731.0
Males,9.0,20,29370.0
Males,10.0,20,32670.0
Females,1.0,20,33188.0
Females,2.0,20,31509.0
Females,3.0,20,30428.0
Females,4.0,20,29289.0
Females,5.0,20,27981.0
Females,6.0,20,28303.0
Females,7.0,20,27160.0
Females,8.0,20,27311.0
Females,9.0,20,27679.0
Females,10.0,20,31002.0
Males,1.0,21,36533.0
Males,2.0,21,34997.0
Males,3.0,21,35088.0
Males,4.0,21,35681.0
Males,5.0,21,32554.0
Males,6.0,21,30958.0
Males,7.0,21,29131.0
Males,8.0,21,29619.0
Males,9.0,21,25802.0
Males,10.0,21,33337.0
Females,1.0,21,33633.0
Females,2.0,21,33364.0
Females,3.0,21,33433.0
Females,4.0,21,34706.0
Females,5.0,21,31843.0
Females,6.0,21,29645.0
Females,7.0,21,27678.0
Females,8.0,21,26923.0
Females,9.0,21,23774.0
Females,10.0,21,31757.0
Males,1.0,22,36655.0
Males,2.0,22,37426.0
Males,3.0,22,39055.0
Males,4.0,22,39042.0
Males,5.0,22,35487.0
Males,6.0,22,34155.0
Males,7.0,22,30772.0
Males,8.0,22,29971.0
Males,9.0,22,26798.0
Males,10.0,22,28298.0
Females,1.0,22,35675.0
Females,2.0,22,36325.0
Females,3.0,22,36820.0
Females,4.0,22,37039.0
Females,5.0,22,34285.0
Females,6.0,22,32603.0
Females,7.0,22,28149.0
Females,8.0,22,26031.0
Females,9.0,22,23578.0
Females,10.0,22,24991.0
Males,1.0,23,36588.0
Males,2.0,23,38947.0
Males,3.0,23,41089.0
Males,4.0,23,41453.0
Males,5.0,23,37594.0
Males,6.0,23,36168.0
Males,7.0,23,31972.0
Males,8.0,23,31287.0
Males,9.0,23,28355.0
Males,10.0,23,27467.0
Females,1.0,23,36419.0
Females,2.0,23,38068.0
Females,3.0,23,38707.0
Females,4.0,23,39042.0
Females,5.0,23,35543.0
Females,6.0,23,33808.0
Females,7.0,23,29771.0
Females,8.0,23,27682.0
Females,9.0,23,25024.0
Females,10.0,23,24503.0
Males,1.0,24,37002.0
Males,2.0,24,39454.0
Males,3.0,24,42716.0
Males,4.0,24,42546.0
Males,5.0,24,38117.0
Males,6.0,24,36988.0
Males,7.0,24,33258.0
Males,8.0,24,31775.0
Males,9.0,24,29230.0
Males,10.0,24,27334.0
Females,1.0,24,36419.0
Females,2.0,24,38409.0
Females,3.0,24,40439.0
Females,4.0,24,39854.0
Females,5.0,24,35634.0
Females,6.0,24,34808.0
Females,7.0,24,30716.0
Females,8.0,24,28574.0
Females,9.0,24,26281.0
Females,10.0,24,24662.0
Males,1.0,25,37790.0
Males,2.0,25,40846.0
Males,3.0,25,44808.0
Males,4.0,25,43990.0
Males,5.0,25,39276.0
Males,6.0,25,38376.0
Males,7.0,25,34351.0
Males,8.0,25,32753.0
Males,9.0,25,30218.0
Males,10.0,25,28393.0
Females,1.0,25,37336.0
Females,2.0,25,40059.0
Females,3.0,25,42756.0
Females,4.0,25,41601.0
Females,5.0,25,37100.0
Females,6.0,25,36142.0
Females,7.0,25,32139.0
